Vehicle ID,Identifier,Make,Model,Color,License Plate,Passenger Seats,Status,VIN,Garage Stop,Contractor Name,Vehicle Model Year,Vehicle Description,Emissions Rate,Vehicle Type ID,Capacity Type,Created At,Updated At,Photo URL,Accessibility Features
419a9a38-1e9e-45e5-b1b1-44f80ca75964,207M CAR,Toyota,Prius V,White,HRG 611,3,active,JTDZN3EU9HJ065540,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2017,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:02:00,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
f585a21f-9489-48bc-bd0e-a7f13429fc5c,206M CAR,Volkswagen,Golf SportWagen C-Line,White,KJZ 372,3,active,3VWY57AU4KM518057,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:02:22,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
da28ca14-bc20-45cd-b731-a98f16315d6b,205M CAR,Volkswagen,Golf SportWagen C-Line,White,KJZ 335,3,active,3VWY57AUXKM518113,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:02:28,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
ae39c7c6-8f6c-40c3-a489-c17648a53d48,204M CAR,Volkswagen,Golf SportWagen C-Line,White,KJZ 334,3,active,3VWY57AU4KM519774,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:02:49,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
9caa45b7-42dd-4201-8434-066a0fc8d6c4,203M CAR,Volkswagen,Golf SportWagen C-Line,White,KJZ 336,3,active,3VWY57AU1KM519442,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:02:54,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
6f0ebfd4-efa6-4867-81d0-a32775823bbc,202M CAR,Volkswagen,Golf SportWagen C-Line,White,LEM 752,3,active,3VW117AU1KM524072,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:03:00,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
64d2f9c4-65cb-4bde-830e-fc16924cd445,201M CAR,Volkswagen,Golf SportWagen C-Line,White,KJZ 313,3,active,3VWY57AU9KM518927,"56 Setterington Bay, Winnipeg, MB  R3Y 1W3",Mani-Handi Transit Ltd.,2019,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 11:03:05,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
163ac249-327b-4311-917f-34eff7050c9e,675-05J CAR,Toyota,Prius V,White,HWB 923,3,active,JTDZN3EU7HJ069313,"10 Quantrell Bay, Winnipeg, MB  R2N 4L4",JD Taxi Inc.,2017,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 10:52:48,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
47196763-ba82-499f-8fdd-9437bc6699d7,675-07J CAR,Toyota,Prius V,White,HKX 921,3,active,JTDZN3EU0GJ051847,"130 Bellflower Rd, Winnipeg, MB  R3Y 0J1",JD Taxi Inc.,2016,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 10:53:04,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
6f2801c0-ea37-4971-9acb-d368e8bd0084,675-04J CAR,Toyota,Prius V,White,HWB 924,3,active,JTDZN3EU2C3062217,"19-182 Colony St, Winnipeg, MB  R3C 1W3",JD Taxi Inc.,2017,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 10:52:18,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
96710a59-f1cc-48bd-b5a0-7e313a3f006f,675-03J CAR,Toyota,Prius V,White,HWB 920,3,active,,"13-677 Maryland St, Winnipeg, MB  R3E 1W1",JD Taxi Inc.,2017,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 10:51:49,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
11d459df-f807-4254-bdd3-7cd58efc1c46,675-02J CAR,Toyota,Prius V,White,LGP 290,3,active,JTDZN3EUXGJ053301,"300 Toronto St, Winnipeg, MB  R3G 1S2",JD Taxi Inc.,2016,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-20 15:51:11,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
